condition,experiment_id,meta_round,behavioral_distance,structural_similarity,valid_behavior_pairs,valid_structure_pairs,total_pairs
OF,exp_075,2,0.353185,0.34514,10,10,10
OF,exp_075,3,0.270439,0.300411,10,10,10
OF,exp_076,1,0.253278,0.318786,10,10,10
OF,exp_076,2,0.322602,0.309301,10,10,10
OF,exp_076,3,0.333697,0.343611,10,10,10
OF,exp_077,1,0.316443,0.295492,10,10,10
OF,exp_077,2,0.268303,0.290224,10,10,10
OF,exp_077,3,0.343403,0.29769,10,10,10
OF,exp_078,1,0.286085,0.273598,10,10,10
OF,exp_078,2,0.343358,0.27369,10,10,10
OF,exp_078,3,0.359075,0.28704,10,10,10
OF,exp_079,1,0.275156,0.283918,10,10,10
OF,exp_079,2,0.343643,0.298234,10,10,10
OF,exp_079,3,0.317271,0.323597,10,10,10
OF,exp_080,1,0.287178,0.280549,10,10,10
OF,exp_080,2,0.32078,0.277675,10,10,10
OF,exp_080,3,0.352328,0.30234,10,10,10
OF,exp_081,1,0.375419,0.302394,10,10,10
OF,exp_081,2,0.336409,0.327589,10,10,10
OF,exp_081,3,0.293244,0.315613,10,10,10
OF,exp_082,1,0.219063,0.35699,10,10,10
OF,exp_082,2,0.226224,0.352594,10,10,10
OF,exp_082,3,0.241078,0.364062,10,10,10
OF,exp_083,1,0.257831,0.300749,10,10,10
OF,exp_083,2,0.379004,0.302953,10,10,10
OF,exp_083,3,0.345147,0.32871,10,10,10
OF,exp_084,1,0.306042,0.264072,10,10,10
OF,exp_084,2,0.326507,0.305993,10,10,10
OF,exp_084,3,0.25689,0.310731,10,10,10
OF,exp_085,1,0.267456,0.304285,10,10,10
OF,exp_085,2,0.201602,0.342654,10,10,10
OF,exp_085,3,0.214072,0.272097,10,10,10
OF,exp_086,1,0.281391,0.277736,10,10,10
OF,exp_086,2,0.290201,0.276753,10,10,10
OF,exp_086,3,0.303471,0.300999,10,10,10
OF,exp_087,1,0.319901,0.317954,10,10,10
OF,exp_087,2,0.34071,0.356817,10,10,10
OF,exp_087,3,0.325674,0.325907,10,10,10
OF,exp_088,1,0.33724,0.352012,10,10,10
OF,exp_088,2,0.247567,0.369016,10,10,10
OF,exp_088,3,0.263753,0.35051,10,10,10
OF,exp_089,1,0.342077,0.351558,10,10,10
OF,exp_089,2,0.361213,0.325561,10,10,10
OF,exp_089,3,0.400566,0.360099,10,10,10
OF,exp_090,1,0.293089,0.360563,10,10,10
OF,exp_090,2,0.255813,0.337163,10,10,10
OF,exp_090,3,0.263658,0.341517,10,10,10
OF,exp_091,1,0.266252,0.30205,10,10,10
OF,exp_091,2,0.405307,0.305904,10,10,10
OF,exp_091,3,0.352704,0.31549,10,10,10
OF,exp_092,1,0.376117,0.335772,10,10,10
OF,exp_092,2,0.332295,0.31496,10,10,10
OF,exp_092,3,0.344641,0.30989,10,10,10
OF,exp_093,1,0.262007,0.320548,10,10,10
OF,exp_093,2,0.31831,0.32446,10,10,10
OF,exp_093,3,0.294148,0.31182,10,10,10
OF,exp_094,1,0.400262,0.295225,10,10,10
OF,exp_094,2,0.295988,0.342839,10,10,10
OF,exp_094,3,0.30363,0.360631,10,10,10
OF,exp_095,1,0.334565,0.247857,10,10,10
OF,exp_095,2,0.31329,0.287635,10,10,10
OF,exp_095,3,0.340311,0.294664,10,10,10
OF,exp_096,1,0.310672,0.349763,10,10,10
OF,exp_096,2,0.268797,0.364102,10,10,10
OF,exp_096,3,0.286247,0.378266,10,10,10
OF,exp_097,1,0.247711,0.375442,10,10,10
OF,exp_097,2,0.278837,0.373205,10,10,10
OF,exp_097,3,0.375958,0.352521,10,10,10
OF,exp_098,1,0.30062,0.274137,10,10,10
OF,exp_098,2,0.31719,0.325404,10,10,10
OF,exp_098,3,0.340483,0.320094,10,10,10
OF,exp_099,1,0.194542,0.358523,10,10,10
OF,exp_099,2,0.27458,0.332613,10,10,10
OF,exp_099,3,0.316703,0.360672,10,10,10
OF,exp_100,1,0.268311,0.265944,10,10,10
OF,exp_100,2,0.306549,0.331356,10,10,10
OF,exp_100,3,0.430327,0.313952,10,10,10
OF,exp_101,1,0.323952,0.278093,10,10,10
OF,exp_101,2,0.415099,0.272198,10,10,10
OF,exp_101,3,0.37023,0.276916,10,10,10
OF,exp_102,1,0.279346,0.30157,10,10,10
OF,exp_102,2,0.35078,0.281714,10,10,10
OF,exp_102,3,0.428877,0.317939,10,10,10
OF,exp_103,1,0.314146,0.313407,10,10,10
OF,exp_103,2,0.302171,0.287616,10,10,10
OF,exp_103,3,0.355101,0.325122,10,10,10
OF,exp_104,1,0.278137,0.263929,10,10,10
OF,exp_104,2,0.340794,0.224533,10,10,10
OF,exp_104,3,0.453707,0.290517,10,10,10
OF,exp_105,1,0.407784,0.299913,10,10,10
OF,exp_105,2,0.345456,0.287724,10,10,10
OF,exp_105,3,0.33865,0.285833,10,10,10
OF,exp_106,1,0.398969,0.272433,10,10,10
OF,exp_106,2,0.281675,0.265344,10,10,10
OF,exp_106,3,0.330488,0.327411,10,10,10
OF,exp_107,1,0.318765,0.329484,10,10,10
OF,exp_107,2,0.305882,0.348423,10,10,10
OF,exp_107,3,0.353902,0.377712,10,10,10
OF,exp_108,1,0.419778,0.315589,10,10,10
OF,exp_108,2,0.308468,0.294209,10,10,10
OF,exp_108,3,0.384497,0.325968,10,10,10
OF,exp_109,1,0.240414,0.274685,10,10,10
OF,exp_109,2,0.309254,0.296541,10,10,10
OF,exp_109,3,0.361132,0.307118,10,10,10
OF,exp_110,1,0.253453,0.293536,10,10,10
OF,exp_110,2,0.31203,0.333312,10,10,10
OF,exp_110,3,0.312452,0.363345,10,10,10
OF,exp_111,1,0.258485,0.30886,10,10,10
OF,exp_111,2,0.332204,0.306204,10,10,10
OF,exp_111,3,0.374012,0.338488,10,10,10
OF,exp_112,1,0.20441,0.322358,10,10,10
OF,exp_112,2,0.222652,0.353713,10,10,10
OF,exp_112,3,0.318241,0.350127,10,10,10
