exp,meta_round_id,agent_id,backend,model,temperature,survival_days,death_day,death_count,mortality_rate,final_status,status_alive,final_hp,final_budget,total_bid,avg_bid,bid_variance,max_bid,min_bid,error_count,compile_success,runtime_success,strategy_complexity
exp_001,9,David,gemini,gemini-3.1-flash-lite,0.6,6,7,1.0,100.0,dead,0.0,0.0,0.0,616.6635,61.66635,2080.7220361385,137.631,0.0,0,1.0,1.0,192.0
exp_001,9,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,611.3800000000001,1239.7,123.97,3269.6776199999995,219.35999999999999,1.35,0,1.0,1.0,323.0
exp_001,10,Alex,openai,gpt-5.4,0.6,10,,0.0,0.0,alive,1.0,3.0,264.0,1284.0,128.4,933.24,155.0,70.0,0,1.0,1.0,839.0
exp_001,10,Bob,openai,gpt-5.4-nano,0.6,6,7,1.0,100.0,dead,0.0,-2.0,0.0,495.27,49.527,1194.983361,82.62,0.0,0,1.0,1.0,436.0
exp_001,10,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,802.1765625,1344.2734375,134.42734375,588.1150220947267,163.6359375,90.0,0,1.0,1.0,287.0
exp_001,10,David,gemini,gemini-3.1-flash-lite,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0
exp_001,10,Eric,deepseek,deepseek-v4-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,543.0625,1295.4375,129.54375,695.4418515625,156.6875,70.0,0,1.0,1.0,207.0
exp_002,1,Alex,openai,gpt-5.4,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,231.08,23.108,826.0921760000001,70.0,0.0,0,1.0,1.0,647.0
exp_002,1,Bob,openai,gpt-5.4-nano,0.6,3,4,1.0,100.0,dead,0.0,-2.0,0.0,174.825,17.482499999999998,606.24500625,72.675,0.0,0,1.0,1.0,324.0
exp_002,1,Cindy,gemini,gemini-2.5-flash,0.6,10,,0.0,0.0,alive,1.0,10.0,75.0,1425.0,142.5,0.0,142.5,142.5,0,1.0,1.0,358.0
